Date,unleaded,diesel,unleaded-wholesale,diesel-wholesale
2017-01-11,118.43,120.96,93.39,94.88
2017-01-12,120.66,123.06,92.92,95.31
2017-02-01,102.52,103.19,79.41,76.2
2017-02-02,120.09,122.32,93.27,93.9
2017-02-03,120.18,122.22,91.58,93.55
2017-02-04,106.93,106.47,85.64,82.47
2017-02-05,118.54,120.29,89.41,89.31
2017-02-06,116.63,117.64,90.55,88.76
2017-02-07,111.74,112.36,85.51,85.39
2017-02-08,115.36,116.21,90.8,91.15
2017-02-09,111.86,113.04,85.85,86.1
2017-02-10,118.84,120.21,89.12,93.47
2017-02-11,118.4,121.08,94.6,95.01
2017-02-12,115.34,117.84,90.17,92.69
2017-03-01,117.77,120.34,92.5,94.48
2017-03-02,120.26,122.25,93.29,93.78
2017-03-03,120.25,122.13,91.9,93.57
2017-03-04,117.6,119.54,92.57,91.81
2017-03-05,118.27,120.06,89.57,88.91
2017-03-06,111.66,111.86,86.17,85.87
2017-03-07,114.47,115.27,89.45,89.46
2017-03-08,115.39,116.28,91.13,91.52
2017-03-09,111.93,113.12,86.56,86.5
2017-03-10,118.9,120.23,89.73,93.28
2017-03-11,118.86,121.27,94.99,95.38
2017-03-12,115.52,118.06,90.43,92.64
2017-04-01,118.11,120.74,92.49,94.08
2017-04-02,101.95,101.02,78.15,77.71
2017-04-03,103.24,103.73,81.78,81.59
2017-04-04,117.62,119.54,93.35,92.39
2017-04-05,118.02,119.6,88.85,87.97
2017-04-06,111.65,111.92,86.01,85.14
2017-04-07,114.48,115.21,89.44,89.63
2017-04-08,115.77,116.54,91.3,91.53
2017-04-09,118.36,118.97,94.11,93.16
2017-04-10,118.83,120.23,89.77,93.25
2017-04-11,115.54,117.44,86.33,88.96
2017-04-12,120.69,123.15,92.19,94.56
2017-05-01,118.33,120.98,92.07,93.66
2017-05-02,101.95,100.98,78.63,78.64
2017-05-03,103.35,103.81,81.58,81.59
2017-05-04,117.61,119.5,93.19,92.61
2017-05-05,117.12,118.45,89.02,88.36
2017-05-06,116.7,117.71,90.01,88.1
2017-05-07,114.36,115.16,88.87,89.04
2017-05-08,110.15,111.23,86.69,87.83
2017-05-09,118.79,119.34,94.33,93.75
2017-05-10,118.41,120.35,91.53,94.4
2017-05-11,115.35,117.27,86.47,89.02
2017-05-12,120.75,123.23,92.14,94.68
2017-06-01,118.66,121.2,92.7,94.42
2017-06-02,119.95,122.26,93.09,93.94
2017-06-03,119.96,122.17,91.98,93.89
2017-06-04,117.78,119.61,93.42,92.67
2017-06-05,109.44,109.42,86.67,85.34
2017-06-06,116.75,117.7,90.07,88.08
2017-06-07,114.46,115.22,89.28,89.27
2017-06-08,110.35,111.48,86.86,88.3
2017-06-09,118.83,119.4,94.72,93.86
2017-06-10,118.15,120.3,90.84,93.33
2017-06-11,118.95,121.47,95.78,96.14
2017-06-12,120.7,123.17,91.87,94.25
2017-07-01,102.45,102.9,80.08,75.8
2017-07-02,120.11,122.3,92.47,93.26
2017-07-03,120.1,122.17,92.41,93.96
2017-07-04,117.88,119.56,93.77,93.33
2017-07-05,109.57,109.54,85.82,84.57
2017-07-06,116.49,117.56,89.28,87.54
2017-07-07,114.58,115.22,88.4,88.22
2017-07-08,115.79,116.66,91.01,90.98
2017-07-09,119.04,119.67,94.37,93.92
2017-07-10,115.61,117.41,90.35,93.25
2017-07-11,119.13,121.67,95.62,96.04
2017-07-12,120.73,123.19,91.8,94.27
2017-08-01,102.23,102.56,79.4,74.46
2017-08-02,119.95,122.21,92.82,93.31
2017-08-03,120.04,122.11,92.36,93.7
2017-08-04,107.58,107.15,84.35,82.57
2017-08-05,117,118.38,88.87,88.09
2017-08-06,116.56,117.6,89.29,87.54
2017-08-07,111.83,112.36,85.16,86.21
2017-08-08,116.08,116.99,91.36,91.42
2017-08-09,119.29,119.85,93.61,93.6
2017-08-10,115.78,117.61,89.78,92.58
2017-08-11,119.37,121.88,95.92,96.13
2017-08-12,120.75,123.13,92.64,95.23
2017-09-01,118.6,121.28,92.38,94.12
2017-09-02,120.01,122.32,93.26,93.35
2017-09-03,120.06,122.17,90.86,92.24
2017-09-04,107.75,107.27,84.94,83.05
2017-09-05,116.69,118.02,88.89,88.3
2017-09-06,116.51,117.33,90.19,88.37
2017-09-07,112.18,112.66,84.74,85.85
2017-09-08,116.02,116.94,90.93,91.29
2017-09-09,111.97,113.12,86.39,87.38
2017-09-10,117.98,120.32,90.64,92.88
2017-09-11,119.59,122.06,95.82,96.5
2017-09-12,116.16,118.76,91.65,93.46
2017-10-01,118.87,121.53,91.9,93.29
2017-10-02,120.01,122.22,94.19,93.97
2017-10-03,120.07,122.05,90.69,91.96
2017-10-04,117.92,119.73,93.79,93.62
2017-10-05,116.42,117.76,89.66,88.95
2017-10-06,111.78,111.98,86.59,85.33
2017-10-07,114.6,115.36,88.9,88.6
2017-10-08,116.29,117.13,91.2,91.62
2017-10-09,111.99,113.15,86.75,87.73
2017-10-10,117.97,120.26,90.89,93.51
2017-10-11,119.97,122.37,95.53,96.15
2017-10-12,116.26,118.94,91.82,93.76
2017-11-01,118.86,121.55,93.23,94.14
2017-11-02,101.85,101.08,76.83,77.89
2017-11-03,103.98,104.48,83.14,81.51
2017-11-04,118.07,119.84,93.63,93.32
2017-11-05,116.38,117.64,90.46,89.46
2017-11-06,111.75,111.99,86.25,85.23
2017-11-07,114.64,115.41,89.04,88.71
2017-11-08,116.58,117.38,91.37,91.41
2017-11-09,119.48,120.09,92.26,93.19
2017-11-10,117.91,120.28,90.83,93.47
2017-11-11,114.31,116.38,87.97,90.64
2017-11-12,120.76,123.21,92.87,95.82
2017-12-01,119.02,121.66,93.28,94.03
2017-12-02,101.37,100.83,77.66,78.21
2017-12-03,104.36,104.65,84.33,81.1
2017-12-04,118.25,119.98,93.79,93.53
2017-12-05,116.4,117.35,90.5,89.46
2017-12-06,116.36,117.39,89.94,88.62
2017-12-07,114.6,115.39,89.14,88.86
2017-12-08,110.97,112.27,86.85,87.57
2017-12-09,119.67,120.29,92.6,92.75
2017-12-10,117.98,120.3,90.61,93.33
2017-12-11,114.15,116.35,88,90.43
2017-12-12,120.71,123.21,93.31,95.87
2018-01-01,118.46,121.15,93.35,93.75
2018-01-02,122.34,125.08,94.16,95.73
